Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DE-290817.PrjPcb|ReportField=ProjectFullPath~C:\Users\eldar\Desktop\HotelRoomAccessControlUnit\hw\DE-290817.PrjPcb|ReportField=Title~Bill of Materials For Project [DE-290817.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~173|ReportField=ReportTime~17:46:34|ReportField=ReportDate~20.09.2017.|ReportField=ReportDateTime~20.09.2017. 17:46:34|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Topal Osman Paše 18|ReportField=Address2~71000 Sarajevo|ReportField=Address3~Federacija BiH|ReportField=Address4~Bosna i Hercegovina|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~eldar6776@hotmail.com|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~20.09.2017.|ReportField=CurrentTime~17:37:25|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\eldar\Desktop\HotelRoomAccessControlUnit\hw\DE-290817_01.SchDoc|ReportField=DocumentName~DE-290817_01.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Eldar Dedić|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~20.09.2017.|ReportField=Organization~I-MEDIA GROUP d.o.o.|ReportField=ProjectName~DE-290817.PrjPcb|ReportField=Revision~001|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~Microcontroller - Memory - Display|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DE-290817.PrjPcb|ReportField=DataSourceFullPath~C:\Users\eldar\Desktop\HotelRoomAccessControlUnit\hw\DE-290817.PrjPcb
1|10uF|Ceramic Chip Capacitor - Standard|C100, C106, C110, C120, C215, C216, C217, C220, C221, C301|0805|C0805|10
40|100R|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R105|ERA-0603|ERAV|1
41|4R7|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R107|ERA-0603|ERAV|1
42|1K|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R108, R109, R110|ERA-0603|ERAV|3
43|4K7|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R111, R112|ERA-0603|ERAV|2
44|10K|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R113, R114, R116, R117, R201, R203, R204, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R221, R222, R223, R229, R232, R233, R235, R301|ERA-0603|ERAV|29
45|NF|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R115|ERA-0603|ERAV|1
46|0R|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R200, R205|ERA-0603|ERAV|2
47|NF|Flame-Retardant Fuse Type Carbon Film Resistor, 4.7 Ohm to 1k Ohm Range, 2% and 5% Tolerance, 0.166 W|R202|RD3.2x1.7|ERD6FC|1
48|10R|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R220|ERA-0603|ERAV|1
49|2K2|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R224, R225, R226, R228, R230, R231|ERA-0603|ERAV|6
50|1K2|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R227|ERA-0603|ERAV|1
51|3K3|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R234|ERA-0603|ERAV|1
52|1K8|Low Ohmic Value Thick Film Chip Resistor, 0.1 Ohm to 0.2 Ohm Range, 1%, 2% and 5% Tolerance, 0603 Size, 0.1 W|R300, R302|3-0603|ERJ3RS|2
53|1R8|Low Ohmic Value Thick Film Chip Resistor, 0.1 Ohm to 0.2 Ohm Range, 1%, 2% and 5% Tolerance, 0603 Size, 0.1 W|R303, R304|3-0603|ERJ3RS|2
54|TAMPER||S100|TACTILE_SWITCH|TACKTILE_SWITCH|1
55|CAP1293|3-Channel Capacitive Touch Sensor with Proximity Detection & Signal Guard|U100|SOP8|CAP1293|1
56|SN74HC595D|8-Bit Shift Register with 3-State Output Registers|U101|D016_N|SN74HC595D|1
57|STM32F103C8T6|ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray|U102|STM-LQFP48_N|STM32F103C8T6|1
58|FT24C128A|64Kbit, 400kHz, 1.7V, I2C Serial EEPROM, 8-Pin SOIC 150mil, Commercial Temperature|U103|SOIC-SN8_N|24AA64/SN|1
59|W25Q64|64K SPI Bus Serial EEPROM, 8-Pin SOIC, Industrial Temperature|U104|SOIJ-SM8_N|25LC640A-I/SN|1
60|MAX485ESA|Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceiver|U200|NSO8_M|MAX485ESA|1
61|LM2596S-ADJ|SIMPLE SWITCHER® Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263|U201|TS5B_N|LM2596S-ADJ|1
62|REG1117-3.3|800mA and 1A Low Dropout Positive Regulator 2.85V, 3.3V, 5V, and Adjustable|U202|ZZ311|REG1117-3.3|1
63|MFRC522|MIFARE reader writer|U300|QFN32|MFRC522|1
64|8MHz|Surface Mount Quartz Crystal|Y100|HC49/4H_SMX|HC49/4H_SMX|1
65|32.768MHz|Tuning Fork Crystal Unit|Y101|R26|R26-32.768|1
66|27,12 MHz|Crystal Oscillator|Y300|HC49/4H_SMX|ECS-80-20-1|1
